# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0.12048119      	-6.12996937e-05	6.33035312e-02	-1.38684248e-02	-6.99551209e-03	-6.87291270e-03
0.12315783      	-6.91619015e-05	6.66697322e-02	1.63108894e-02	8.08628281e-03	8.22460661e-03
0.12583741      	-7.30902717e-05	7.66071322e-02	1.90479121e-02	9.45086579e-03	9.59704633e-03
0.12851699      	-7.56978161e-05	5.89805297e-02	5.90229154e-03	2.87544795e-03	3.02684359e-03
0.13119953      	-6.71303358e-05	4.28960301e-02	2.87008418e-02	1.42832906e-02	1.44175512e-02
0.13388502      	-6.62912430e-05	7.17144252e-02	8.48301794e-03	4.17521773e-03	4.30780021e-03
0.13657497      	-6.77343640e-05	9.28218842e-02	-1.90399768e-02	-9.58772279e-03	-9.45225406e-03
0.13926641      	-6.72298444e-05	7.46266868e-02	1.18089553e-02	5.83724779e-03	5.97170748e-03
0.14195933      	-6.80134613e-05	7.15900344e-02	-1.24384025e-02	-6.28721473e-03	-6.15118781e-03
0.14465077      	-6.80681793e-05	7.10717369e-02	-4.60629082e-03	-2.37121359e-03	-2.23507723e-03
0.1473422       	-6.83092514e-05	7.10396362e-02	4.31147972e-03	2.08743061e-03	2.22404911e-03
0.15003513      	-6.13543016e-05	7.04236951e-02	1.45408000e-02	7.20904569e-03	7.33175430e-03
0.15273106      	-6.25684124e-05	7.00260727e-02	2.75904324e-03	1.31695321e-03	1.44209003e-03
0.15542548      	-6.65109458e-05	7.00069674e-02	1.74183978e-02	8.64268795e-03	8.77570984e-03
0.15812441      	-7.08159400e-05	6.81881712e-02	1.10898753e-02	5.47412173e-03	5.61575361e-03
0.16082333      	-7.31682806e-05	7.02491669e-02	9.75383509e-03	4.80374926e-03	4.95008582e-03
0.16351925      	-7.44665369e-05	7.94876373e-02	-2.59961413e-02	-1.30725372e-02	-1.29236041e-02
0.16621969      	-6.83225713e-05	6.15145781e-02	1.07810672e-02	5.32221102e-03	5.45885617e-03
0.16892164      	-6.93240859e-05	8.11150079e-02	1.30234099e-02	6.44238085e-03	6.58102902e-03
0.17162509      	-7.18442233e-05	8.29477818e-02	-4.03546869e-03	-2.08957857e-03	-1.94589012e-03
0.1743331       	-7.47155397e-05	7.54849966e-02	7.12637455e-03	3.48847174e-03	3.63790282e-03
0.17704111      	-7.82831672e-05	7.06609451e-02	-5.09149460e-03	-2.62403047e-03	-2.46746413e-03
0.17974607      	-8.06232037e-05	6.80850547e-02	-1.34697078e-02	-6.81547710e-03	-6.65423070e-03
0.18244801      	-7.39116186e-05	6.82706944e-02	1.24674037e-02	6.15979022e-03	6.30761345e-03
0.1851545       	-7.55933963e-05	8.30836243e-02	-2.86242908e-03	-1.50680793e-03	-1.35562114e-03
0.18786251      	-7.82611631e-05	8.21400961e-02	-6.28108129e-03	-3.21880181e-03	-3.06227948e-03
0.19057052      	-8.14130289e-05	7.95893288e-02	9.28462528e-03	4.56089961e-03	4.72372567e-03
0.19328006      	-8.33483149e-05	7.56891140e-02	1.98841299e-02	9.85871663e-03	1.00254133e-02
0.19599726      	-8.61128073e-05	8.17241580e-02	1.54549333e-02	7.64135384e-03	7.81357946e-03
0.19871599      	-8.02563975e-05	7.42496875e-02	1.83439384e-02	9.09171280e-03	9.25222560e-03
